6.272 7.004 7.773 8.508 9.089 9.357 9.166 8.473 7.383 6.102 4.831 3.702 2.765 2.017 1.435 0.986 0.642 0.377 0.174 0.018
5.472 5.975 6.465 6.889 7.170 7.225 6.991 6.462 5.698 4.810 3.909 3.078 2.357 1.759 1.276 0.891 0.588 0.350 0.163 0.017
4.839 5.193 5.514 5.764 5.893 5.856 5.623 5.196 4.618 3.953 3.270 2.624 2.048 1.555 1.146 0.811 0.541 0.325 0.153 0.016
4.327 4.579 4.792 4.937 4.984 4.904 4.683 4.328 3.866 3.342 2.800 2.279 1.805 1.390 1.037 0.743 0.501 0.304 0.144 0.015
3.903 4.084 4.225 4.305 4.304 4.204 3.999 3.695 3.314 2.885 2.441 2.009 1.609 1.254 0.945 0.684 0.465 0.284 0.135 0.014
3.548 3.677 3.768 3.806 3.776 3.668 3.478 3.214 2.891 2.531 2.157 1.791 1.449 1.139 0.867 0.632 0.433 0.267 0.128 0.013
3.245 3.337 3.393 3.403 3.355 3.245 3.070 2.837 2.557 2.249 1.928 1.613 1.315 1.042 0.799 0.587 0.405 0.251 0.121 0.013
2.985 3.048 3.079 3.070 3.012 2.902 2.740 2.532 2.287 2.018 1.740 1.464 1.201 0.958 0.740 0.547 0.380 0.237 0.115 0.012
2.759 2.801 2.814 2.791 2.727 2.619 2.470 2.282 2.064 1.827 1.581 1.337 1.103 0.885 0.688 0.512 0.357 0.224 0.109 0.012
2.560 2.586 2.586 2.554 2.486 2.382 2.243 2.073 1.877 1.666 1.447 1.229 1.019 0.822 0.642 0.480 0.337 0.212 0.104 0.011
2.385 2.399 2.388 2.350 2.281 2.181 2.051 1.895 1.718 1.528 1.331 1.135 0.945 0.765 0.600 0.451 0.318 0.201 0.099 0.011
2.230 2.233 2.215 2.173 2.103 2.007 1.886 1.743 1.582 1.409 1.231 1.052 0.879 0.716 0.563 0.425 0.301 0.191 0.094 0.010
2.091 2.087 2.063 2.017 1.949 1.857 1.743 1.611 1.463 1.305 1.143 0.980 0.822 0.671 0.530 0.401 0.285 0.181 0.090 0.010
1.966 1.956 1.928 1.880 1.813 1.725 1.618 1.495 1.359 1.214 1.065 0.916 0.770 0.631 0.500 0.380 0.271 0.173 0.086 0.009
1.853 1.838 1.807 1.759 1.692 1.608 1.508 1.393 1.267 1.134 0.996 0.858 0.724 0.594 0.473 0.360 0.258 0.165 0.082 0.009
1.750 1.732 1.699 1.650 1.585 1.505 1.410 1.303 1.186 1.062 0.934 0.807 0.682 0.561 0.448 0.342 0.245 0.157 0.079 0.009
1.657 1.635 1.601 1.552 1.489 1.412 1.322 1.222 1.112 0.997 0.879 0.760 0.644 0.531 0.425 0.326 0.234 0.151 0.075 0.008
1.571 1.548 1.512 1.464 1.402 1.329 1.244 1.149 1.047 0.939 0.829 0.718 0.609 0.504 0.404 0.310 0.224 0.144 0.072 0.008
1.493 1.468 1.431 1.383 1.324 1.253 1.173 1.083 0.987 0.887 0.783 0.680 0.578 0.479 0.385 0.296 0.214 0.138 0.070 0.008
1.421 1.394 1.357 1.310 1.253 1.185 1.108 1.024 0.934 0.839 0.742 0.645 0.549 0.456 0.367 0.283 0.205 0.133 0.067 0.007
1.354 1.327 1.290 1.243 1.187 1.123 1.050 0.970 0.884 0.795 0.704 0.613 0.522 0.434 0.350 0.271 0.196 0.127 0.064 0.007
1.292 1.264 1.228 1.182 1.128 1.066 0.996 0.920 0.839 0.755 0.669 0.583 0.498 0.414 0.335 0.259 0.188 0.122 0.062 0.007
1.235 1.207 1.170 1.126 1.073 1.013 0.947 0.875 0.798 0.719 0.637 0.556 0.475 0.396 0.320 0.248 0.181 0.118 0.060 0.007
1.182 1.153 1.117 1.073 1.023 0.965 0.902 0.833 0.760 0.685 0.608 0.530 0.454 0.379 0.307 0.238 0.174 0.113 0.058 0.006
1.133 1.104 1.068 1.025 0.976 0.921 0.860 0.794 0.725 0.654 0.580 0.507 0.434 0.363 0.295 0.229 0.167 0.109 0.056 0.006
1.086 1.057 1.022 0.980 0.933 0.879 0.821 0.759 0.693 0.625 0.555 0.485 0.416 0.348 0.283 0.220 0.161 0.105 0.054 0.006
1.043 1.014 0.979 0.939 0.892 0.841 0.785 0.725 0.663 0.598 0.531 0.465 0.399 0.334 0.272 0.212 0.155 0.102 0.052 0.006
1.003 0.974 0.939 0.900 0.855 0.806 0.752 0.695 0.635 0.573 0.509 0.446 0.383 0.321 0.262 0.204 0.150 0.098 0.050 0.006
0.964 0.936 0.902 0.864 0.820 0.772 0.721 0.666 0.608 0.549 0.489 0.428 0.368 0.309 0.252 0.197 0.144 0.095 0.049 0.005
0.929 0.900 0.867 0.830 0.787 0.741 0.692 0.639 0.584 0.527 0.470 0.412 0.354 0.298 0.243 0.190 0.140 0.092 0.047 0.005
